id,name,credits,hours,type,uni_id
47,当代中国经济问题分析,3,51,选修,3
48,中国特色社会主义政治经济学,3,51,必修,3
49,国家级项目专题研读,3,51,选修,3
50,中国产业经济学,3,51,选修,3
51,计量经济学,3,48,必修,2
52,概率论与数理统计B,4,68,必修,3
53,会计学,3,48,必修,2
54,劳动教育,2,28,必修,3
55,资源与环境经济学,2,32,选修,2
56,经济学学科前沿动态,3,51,选修,3
57,国际商务,3,48,必修,2
58,博弈论与信息经济学,3,51,选修,3
59,马克思主义基本原理,3,51,必修,3
60,名著阅读,2,0,必修,3
61,高级政治经济学,3,51,必修,3
62,习近平新时代中国特色社会主义思想概论,3,51,必修,3
63,经济思想史,3,48,必修,2
64,习近平经济思想,2,34,选修,3
65,中国近现代史纲要,3,51,必修,3
66,经济学原理,3,48,必修,2
67,概率论与数理统计,3,48,必修,2
68,数学分析Ⅰ,5,80,必修,2
69,数字经济学,3,51,必修,3
70,高阶经济数学,3,51,必修,3
71,综合英语III,2,34,必修,3
72,世界经济概论,3,48,必修,2
73,经济史,3,48,必修,2
74,货币银行学,3,48,必修,2
75,中级微观经济学,3,48,必修,2
76,高等数学II,5,58,必修,3
77,大学生职业生涯规划与创业基础,2,36,必修,3
78,高等数学I,5,58,必修,3
79,财政学,3,48,必修,2
80,高级微观经济学,3,48,必修,2
81,《资本论》选读,3,51,必修,3
82,计量经济学,3,51,必修,3
83,国际经济学,3,48,必修,2
84,马克思主义政治经济学,3,51,必修,3
85,形势与政策(I-IV),2,64,必修,3
86,经济法概论,2,32,必修,2
87,经济学的数据分析方法,3,51,选修,3
88,军事理论,2,36,必修,3
89,政治经济学Ⅰ,3,48,必修,2
90,思想道德与法治,3,51,必修,3
91,创新、创业与社会,2,0,必修,3
92,政治经济学Ⅱ,3,48,必修,2
93,毛泽东思想和中国特色社会主义理论体系概论,3,51,必修,3
94,数学分析Ⅲ,4,64,必修,2
95,国家安全教育,1,16,必修,3
96,数学分析Ⅱ,5,80,必修,2
97,微观经济学,3,51,必修,3
98,资源与环境经济学,3,51,选修,3
99,货币金融学,3,51,必修,3
100,国别与地区经济,2,32,必修,2
101,高级微观经济学,3,51,必修,3
102,中国经济史,3,51,必修,3
103,博弈论,3,48,选修,2
104,财政学,3,51,必修,3
105,行为经济学,2,32,选修,2
106,高级宏观经济学,3,51,必修,3
107,新制度经济学,3,51,选修,3
108,人工智能与现代科技,2,34,必修,3
109,线性代数,3,48,必修,2
110,中国发展经济学,3,51,选修,3
111,大学生心理健康与人生发展,2,34,必修,3
112,宏观经济学,3,51,必修,3
113,经济思想史,3,51,必修,3
114,线性代数,3,35,必修,3
115,中级宏观经济学,3,48,必修,2
116,发展经济学,3,48,选修,2
117,跨国公司与直接投资,3,48,必修,2
118,经济学研究方法与论文写作,3,51,选修,3
119,听说写能力训练,2,34,必修,3
